,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_f379fbda11ec5826,Chicago,business+analyst,System Administrator/Business Analyst,www.dutchfarms.com,NOT_FOUND,"As part of the Business Analyst role, this position will be involved with the implementation and oversight of business intelligence and reporting solutions for...","
                $65,000 - $80,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Agb2j4kPibawpJmYOWaIQRQ372_KxNl165yfERCZgdXbjxpVzX5TyeyoGECtkL8WIQcTqq9M6FcjhBmSWUpZvND0bmkZjUe_mQPBbjkzIET-PIcmcUOmYy8XK-oqUtvhAuFUpZwoN2qBDUoS9wdZkZbTaEp7uZrtbwLMJ7oOY_6NEKQTTIOWmaXQYPBh4wH41V8mnK73tezSveDEbzyGl82bg4bSf4nffYb9yu_snV4iKxUuQRRYFtaG8-TFiPgJGpL7A7bYIENyxePKnSEh93ONlMfjjE_IaR8npZFSB2axH9UJcbDxtMZgPjpQBuIciaGlxfnz-CB_fsXgd-w91FLFUJ5L_LB1Wout5Q-3hSXks_GRx7NgUnG560BxQafQvVCD8Iqt-aHuehxC2FKmeRP5fubA3a9trXOlU50GJ-ZtIH-r3_NPJoMdkT-Cp1MoY=&p=0&fvj=1&vjs=3,1 day ago
2,pj_8d9b1a81da978f73,Chicago,business+analyst,Business Analyst,Randa Accessories,NOT_FOUND,Define business process and technical requirements based on business needs. Bachelor's Degree in Business Management or equivalent experience....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CB62aE2MGzXFnW1Pk6wtobCKe0AzfbionFUwocSa0hSxv5NbgndFRQvsfA2be5ux1DWigRSiVWfaU8elfHm_z24dW5_tFk-r5x4K9oYUUzRshYBSbL5_PSI6ZANheMqjsN5tQIhZWtfr8_SdCyM1eUFPFk8SLonYCvCEq28mQ5rPih-KGOp6t7aGxY1qg7tMt7yjtOSap2vyF__qB4QSJ74i_Dpfzrrvt3TGjsfxfEdZ8jHbg70Q7CRG0LV1kEJODz5RZmp88HZ3CLW7oS0-l3VJNnkrzo6rQoZaY5sfXhKBgYtgwKr_xMP0CRB6c1gTIW2x0Efd1V1GXaZx8NG1g82Sh7E72M_FEG6LpP8mkchcFKS6x3GxoM5C_OpG1h2ahDqJqUc1ZbawgxWuhWc03k-fmJmqJDDNWI0-iiqUgdBgDawkJRPsFQWqvUcxuaDnEQamyW9zlMEt39OUBnu4aKbjKDIyykOHL1bcpav36DKPLRD_jR_OtxgeZv2wzgLH0=&p=1&fvj=0&vjs=3,NOT_FOUND
3,pj_7ca923d75ab3695d,Chicago,business+analyst,Jr. Business Analyst - Software,PCMI Corporation,NOT_FOUND,Business Analyst who will be responsible for providing business analysis services and customer support to clients who seek to implement or have implemented PCMI...,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3ZTyI1Hljm6wvKfsBMMtNR89vRE52MyuUldfnLWwAafTHLohrpNJlsLgDo9HTF38DEXiHCdeAnSLWhjuThIKuqL8BdwkSj4LKDH0cU7Sf084WE3TeFCnun4mygtw-BV0z-lJHsu9CccL2G4uNfQYnSXAI_B8pxZp298ZoGkmCOjMIxkvf1esbp07hoHxbpcUstlOaQvXgsyHB-Wzwar3SkoGOo-gz07T2gIC7xKAIHvwpcj8x1H5PtdQu3ERqM429pUmSDhMvqBUkJgChREgce-ixvG2xzyxtbXF5aKOOh7Vh4FWMdex6_D0bNHuPM6-3nGyXh4EuaHSwuI1HCMI3qjZgr5_d67zWJ45dyGHi3wf0H2cHIjj8XkHTexb9n-JEyluVMmYK3IVYb_lRurqZDISFJvbm31YzprrBJJGBwFu1M1vJV1JnDa1MIZswzzU=&p=2&fvj=1&vjs=3,NOT_FOUND
4,pj_edc59b9d2e20c932,Chicago,business+analyst,Business Reporting Analyst - Healthcare,Dupage Medical Group,NOT_FOUND,"Ability to understand end business need, research complex data models and create reports from scratch to direct business and operational decisions....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ck9tLHwkWfEoxUitczklUtEb3JHaOoZd3oUK2oGwTq_zZqm3ieYVUw9ClbKyUjdtm3MhOabnW1P8cUfdzSNpCiB2Vbaypk3CUVMb0cK0zGaHd9MrGG2-p70CWXgIUycrKsMeAcAdTqljR2tYcNMIoaFNFI-TK2H2VCj4fqFdkB3JdnFi8FHi4kvnDXbzKh3mTUtFfGPP0MoeZazE786huH6MXKM-2FiMMS78bnzXZwStgkrfjIiT9cS1nOPXpDXf6PSXVlEILAxIcrtHhiqUdBL8HZQAqejfBTNWqVFkYA-opzNdtA2AQpU6LHqSETrbKAnXbfdVGSgZ-rUPjEPxkdL_ii-w_j07cr-Ztd07jSM4fiwCWhm-weT9Itjo1iUEdN-Y5tICcoBu2Caxe2GVembF55W7dWV4XzTd0mjhAbq_kQ-FtMZyHPAxXI6LYqBhlZokq6l5roLuf52BkwL7C453udjXFpLpYMhIftWN_GRDPtQ_b5CzijoLXVIAh3j6MJjSVYHo8UcQMmk9cjYlKpgs1NeIOJKsYv9VkoTOhOKCVOqQSaI1-mFoPJNp281PzHzew1z7t9Jg==&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_c273061c365d7f8f,Chicago,business+analyst,Business Analyst - Telecom and Call Center Technology,HUB International,NOT_FOUND,"Department Business Operations. Bachelor’s degree in a Business or Technology field is preferred. Lead discovery with Hub End-User Sites to collect, refine, and...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAkWo6yFjr1GEpq4XG3zBhvaUA6lTkVByY1U3N7NzADppBR-u2mIVLL87XIeywlXvaQMlBRB1uieBQT9MyPt5_sVQzKLDrfFCsRlu_OYaLrH0uX0qsRNm6vRVXUZUrBMRJSOMihrdYrr311DfaY3E1NUookm2kVk5nBhU9f2QPS7vJjNKME2coc8Byohfz8QFX2mxeDJL3eVcexPFsIB8tHaFIwRgfk1LEE7-Zawi3P8S-F0M49zIPw1WipA3HAslkUFo2eOy8T1jDHgHCxqarok3Phmn5JmXnBY418EHdheupDXytIcX-5i4zc806Co4P71sOz3l8yNer7kvMHlAV3S-LYS1GY63MYTHLIKRLzA4i6mmA16pmebnhCB91vq7Pr2D-nW5_0XfdclfNeMgNomEsLIFFcmnrLbnIy9VP3ECD3vxEbwJV-wlvFYvO9-I2EKqb4euHxJOwg4fFGVRh73GtnhWGdl7_9ANJA3yfaCz4CKb2VyUz4oeCgvSi4Iz4XwEenjE5cRcBckeIztuOsQ0G8lnSyFd0NH0nb33fs2whnz-YGsE_n6uYYhDFwwY8GSLJjbCMkvVj3DQraANpjaL05v2e9bs=&p=4&fvj=0&vjs=3,9 hours ago
6,pj_59865a7283bc8572,Chicago,business+analyst,Revenue System Business Analyst,HighTower Advisors,NOT_FOUND,"The Revenue System Business Analyst is responsible for collecting business requirements, designing system process flow, providing functional requirements and...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdGEmbb0E6hmT497rbrNWsh83_a2NCpdvCqqj5JunT_-T0zfMVJ0mw53HIi9hNO-FSJcxquROzllI4CiiaSquNxokCWjimSzbylum2EQowjJVAbDImD_nL1O9uwuYLLICih3BO9FCnGKAzEZ8UGLyXEpXCKEG98SqOS5UGPrfiUASWGP-qt_wZ0s-5tUX0oJ51OZ6obYRSvIrejnMutK6gMItq9Zg7dsuP9JXaPM-G7sMUUucpqc9son9i05w9oRRhU4AGHX-BbZqiQksGH_se2LPGlsEUnt0blnhrLVC_idIidgcKz0RWi52IxsyZF7Aa_OHBfPQm-nJQbwS5mNkheKBbW7zXuVR9H7rIpUjECa6QcKFb7ASi04lYoeXYwUP3KKQtZMpDljevOdsrenuQr97376xcAH-gPKixc7w1wyDfJDIYIf-uIToSDs6RmapdKRU_UWa-3uA0NWhLEBEegFpDe8AaJNmufMYvcAA7rf3wkS798oh9&p=5&fvj=0&vjs=3,NOT_FOUND
7,p_24de8f40e2ec53c5,Chicago,business+analyst,Entry Level Quality Analyst QA / Business Analyst BA,IT EXCEL,"Chicago, IL",Clarify ambiguities in business or functional requirements. Candidate should be open to Relocate....,"
                $55,000 - $58,000 a year",https://www.indeed.com/rc/clk?jk=24de8f40e2ec53c5&fccid=7215582b5d6f7925&vjs=3,2 days ago
8,p_9acff826200f6bc8,Chicago,business+analyst,Entry Level Business Analyst,BACloudSystems,"Chicago, IL",Develops and manages the business analysis process during a project life cycle including but not limited to driving and managing business requirements...,"
                $65,000 - $75,000 a year",https://www.indeed.com/company/BACloudSystems/jobs/Entry-Level-Business-Analyst-9acff826200f6bc8?fccid=d850b3ee120c31ef&vjs=3,21 days ago
9,p_d5c0555cdec0add2,Chicago,business+analyst,Entry Level Business Analyst,Cloudbigdata Technologies,"Chicago, IL",We have strong clients relationships on Business Analyst. We are expert in placing candidates on Business Analyst in 2-3 weeks....,NOT_FOUND,https://www.indeed.com/rc/clk?jk=d5c0555cdec0add2&fccid=dd616958bd9ddc12&vjs=3,2 days ago
10,p_3e6e988de6221e25,Chicago,business+analyst,Junior Business Analyst,Guaranteed Rate,"Chicago, IL 60654 (Loop area)",The Strategic Business Analyst is responsible for leading and managing cross functional projects that often have a high degree of complexity and strategic...,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3e6e988de6221e25&fccid=4893a459f005ba81&vjs=3,1 day ago
