,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_3f5b20e6bbf99c12,Boston,business+analyst,Business Systems Analyst,AIRINC,NOT_FOUND,"Work with other business analysts and software engineers to identify improvements to the technology infrastructure that supports this function, as a main user...","

                                    Similar jobs on Indeed pay $61,000 - $91,000 a year
",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMedsim3eK33Kpjxg-UJl5yPGJiRjqwWd9r6jCvXiqgyopHNJTcItUPRGjix3pgBKtepC3R9YpSljckQ_toX3kidSw_D66g0TxQS8l7ivTep-NxBcZV7MssAQGGxogSEToG8ssWoREDaKWoo29H9nuLWzevDvsHo74V-0nHGZoJGG5bbGaE2GTARUVl63uVTONapqRvejxHxJpIsXGgNv4DWDdywhP2sz8iluXok9HjOvEd5K9_PEmxwLSGsblVPojg0I8nVLiBCM0OjYP9voZfmts5Ud1avPlXUxhemo5sAxiCJC6w71_ggexhPAfTyy2rQQqER_8IVwa2xZOIY0SFVRofoVZ-eqYctvCbvuoDTKpoeoUJEV0SYmOLXpQdokuHb9SmQ14NxpXlSKDsHoLgvt-gm1sqYf6j5-6bTGqC2cCbo1C-HnE&p=0&fvj=1&vjs=3,NOT_FOUND
2,pj_ed1748f84c16d8d8,Boston,business+analyst,Business Analyst,Harvard Bioscience,NOT_FOUND,A minimum of 2 to 5 Years in a Business Analyst role. Harvard Bioscience is a global leader in the manufacture and distribution of solutions to advance life...,"
                $78,000 - $92,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAnqrxq6bbXU3S6BAl_JIGwtxuPyH0w42DsqVE3UGdM1YnETsEr67SquI2DDVnrSMwWHiH9kZT4Z24E5Srn7hhKlsYeJYi0p_anTw0Sf-72s7UEae6qsBOwdgTpewv8edKhUVKqkWI5OSqTvl8y_KRckH743LdZB2EqXaxjmQneV2zHGu7DT4jHgh5oyUYY2ICpGTyQQXgAo-3SmoXyvf1U6CZs4nwnTaj_IwDkrFR0B9FPnv6Z1cmZb5s2Pwakvm4QxUpAqxzlUP0L8lEiw2RcD1RcbZFU8AiMWom-XvP25AxOZ8yR22flCZ8Ww0nFComS9YhvhtruvpYnvnS9XfpSLMIOTc5iPD9SAEwGZmorD3Xuc6AJv3j5-u3al5X3nff2AQCZ31TexJug9xs4cwB-2XRx5U94OvLwGrYHGe855WFMZg1ajcE&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_581ada9ba641fb58,Boston,business+analyst,Software Business Analyst,Jenzabar,NOT_FOUND,"The Business Analyst. Primary function of the Business Analyst is to:. Business / Systems Analysis, and/or....","
                $60,000 - $75,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVPP8W9GImstOM9RQUalutpinCztg4vO8VdAisxPfy0xu17XOr0M9kuLjw7naPOBwCLSG_SfUk8QWFrYGf8YLDFTAoidqgDODNENGV0uMGvmztFiFvIRZ0EaxMOkdVSBWRuAqKLFa07yiauA1_Tk0tXP5xkLpDKpoEAl7p1gGU8sg3bkxdURD9_SIs1nDV-iuuofGbYilCMHlqrJJbIegiuFYqIAwHvDEGJdbqlmFuD3ld-fnQNAchB0lMkZe12Zxf9tXooKc07VxwGpKpdaXeRp0o4kA8eTyrx_tS2f2mbcgUBSwVQpNchIdfGdJNuGt771J6vlAoIHu-QpaKthKCaE0x07EDX5VQSt5_6SSZ-bLp7N8uomm-sh9X8uB1ivPZZ9tJTvZK0_IJijY_jv5c&p=2&fvj=0&vjs=3,NOT_FOUND
4,pj_4296f356360df252,Boston,business+analyst,Business Systems Analyst,Velir,NOT_FOUND,3+ years' experience as a Business Analyst or Systems Analyst in a professional or client-facing environment (agency experience a plus)....,"

                                    Similar jobs on Indeed pay $69,000 - $103,000 a year
",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXYhwC7v7XH6N64p3hnFRr8TQRWRTWv73MTTlNn3dFRFDYF6mbGew4HAVmTXloCYXwP0fvCOk6WSjZ-FzLeN894NR7u6SCt_0vxBONNu0CM86YZVg0sraALh6GmKEpVnZEXxueRbaT8rjo41vOLKy4rlG8ghzfBC9R22DKxGEi8FOYHYxhHRzf1112wvbtvWai1AxwKNGbD0Nm9gdRguPP_DvQsvhmEqXgP8tO55en5WiK9N_VcBhpHoc54ytsEgZfLA61qGlyqZFERp7cuztvqGZkVS36ZZGvbUly1TR-F78HYVfUXliniElVRVZGAhOgicshxgW75mS6ZGfOEg0JtwSKwUKZ5BsfCZlus7rvrRwtC8gFo5v4S_nHYgEMk-rBCNitrphqIIidQi6BdTelhZYI_TMDKVAYBbhIdoJnoANjvOKePURnIjlzGT846FXpLv-Yb5OS8UV-S707kAkCQZQqtoac3RHjzShbI07_whKRiQwMyma65701LpSNatavJFmUv2Oa9s_xgz7iC9UYMZ6BfAJku7VTcmHoI0_PYsDfuKlujLx-7Mwd0_WDM9jzxl5eI12uYmeRYsRqJzBP1Cnd64Ca5XA=&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_6f9937c669141c33,Boston,business+analyst,Business Intelligence Analyst,SBLI,NOT_FOUND,Oracle Business Intelligence (OBIEE). 3-5 years developing Oracle Business Intelligence Systems (OBIEE and ODI)....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANPzSidSEBYE_ak-IZXiPVDVgP634dKPerCPZGJqF6q2af2l_NJ_1y45DedaMq5G1ePIh_jTUfQVntn020wLTWWHkvYREnO-oMWbzJF-1lgelv0SDsnAPe2ZS7Jy7m8AT-KUN2EIxOoRfpzq05378Pp7YGumtZ7c4WuwLNh_LWQB8_AFLZgMbL22VN7bpjswsosuvnXpN7kvWw4qGDQf3R5BLnyGCuy8glrsUNk7CyeLMXrLfdWwZfI7Lqb8o4hMkECwcAcJFFPdhIYEyQJup31fng4vrOh7j51WD4exe-xWhOyqD46VIXcNnfMHPyv8DySJOBRQc_3FnQlMKhr5KVqwOHOv8UkpjVwePiK7dETxNBT9PqS9c9ZXwmVQHffobsTMpXCSVb-QhacykrrOFZWMqutQDJpxp3ga_j2IF1JUMzNGrU9kALfrHE43mot529WRj0KnisdQ==&p=4&fvj=1&vjs=3,NOT_FOUND
6,pj_2b67e0adf11a5407,Boston,business+analyst,Technical Business Analyst,ClinEdge,NOT_FOUND,The Technical Business Analyst is a highly collaborative role that will act as a partner with the business to facilitate and implement technology solutions....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B1a8Tfb1q6tWXqLQVKIP-O61tL-qCHNgSn52ph6JIeFxJTvxK6hbynz_bnPW--EKwO4oRasfv3_gh4KO4DMpXTQIzLyFDBwTsMGRwVmlRoYiNe3TI2GT1J-hZjtVZtL4163-oUsrHlYnpjkTfGiwRtL3Yx0evtpBBijzv0aQQfaGWUAt8vmMvks8oLxi90uR_ZK-LtSLYJlg34aMTzISeWgVlKafb_yG55oyaO1KT8af-IvTrhtpjtuv4zbnG5Xop-tvV3mMD-sz4M7u8NahSY62kkP6fqpE3cosLU2qhX_LGC15eN9pMgt2ii-0rzvDHA9FiK25CLNqGg-4ccNZL_x3hCuNpLVkU6qRtkPRvVS5WD3OI1E6wwvqzIRxuUj7QfzUdo_wsr20hy_NMPyBjNxp3i5f91t71FfzsD68GksCb_ArBQYN3n_AFespTpQIr18QGK-PJkow==&p=5&fvj=1&vjs=3,NOT_FOUND
7,p_73fe75382ce64c34,Boston,business+analyst,Business Analyst,Grand Circle Corporation,"Boston, MA 02210 (South Boston area)",Experience working closely with business teams to communicate problem impacts and to understand business requirements....,NOT_FOUND,https://www.indeed.com/rc/clk?jk=73fe75382ce64c34&fccid=5acd6ddd5311eb18&vjs=3,1 day ago
8,p_e29a51f2d0288253,Boston,business+analyst,Jr Business Analyst,Boston,"Boston, MA 02108 (Back Bay-Beacon Hill area)",Our client is looking for Jr Business Analyst who can help to do Quality Analysis. The Junior Business Analyst will build effective relationships with clients...,NOT_FOUND,https://www.indeed.com/company/Boston-Pioneer-Solutions/jobs/Junior-Business-Analyst-e29a51f2d0288253?fccid=921be803212b9f35&vjs=3,5 days ago
9,p_c8ea35155ee569a0,Boston,business+analyst,Junior Business Analyst,Mixed Reality Technologies LLC,"Boston, MA",Business Analyst and help them with their projects. We are looking to add a junior Business Analyst to the team. Attention Jr Business Analysts!...,"
                $65,000 - $75,000 a year",https://www.indeed.com/company/Mixed-Reality-Technologies-LLC/jobs/Junior-Business-Analyst-c8ea35155ee569a0?fccid=d7e677dae61193e7&vjs=3,6 days ago
10,p_ebb15a82fe52a088,Boston,business+analyst,Business Analyst,Bunker Hill Insurance,"Boston, MA 02111 (Central area)",The Business Analyst will assist in the development of business solutions in accordance with System Development Methodology....,NOT_FOUND,https://www.indeed.com/rc/clk?jk=ebb15a82fe52a088&fccid=9fb54be131dc7ab4&vjs=3,1 day ago
