,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_c3bc11267ccede5a,Boston,data+engineer,Data Engineer,Sea Machines Robotics Inc.,NOT_FOUND,"Manage and perform data analysis to identify data quality issues. In-depth understanding of database design and structure principles, data management...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHdFIJfBLGYbx_TzBCBsgbK0Due77H36xmGRpY2MfZsPwTPTh4aSQRFNCGEArHnMvviCNe5JnuWNMqtdZcBvIfU2yZuPy0QwO0-wkoQzNojCcEfroTLtF0vikT6bN9EMogcSG1Aq6SrRcAZCVGhDs0-pAIBo0V83IeNlo5igcJK1egPH3KWq9xQ2tnivsJE_A8D39hQz9aoXaK2TK7lYB89oFv2teHtsVn1O9b31l6qb7HS3hlXShz6WAVkHc7unH-RFjG0E0A2eJ5lVdDXggE9lE4d4-tIEQpuh1N2MuHacsKiHMEZAaPcZzkxqw55Ndis8h-FYboq0-JbsXgBw732uS4pXR2IZ3wEQ_4cC8jXwx0J6qtmrL_btZz1iwza7scoolOtJdsynoNxrkQbemkPz1A5ZcgGlh4pbh9stMbyHeV2scZCBnR&p=0&fvj=1&vjs=3,NOT_FOUND
2,pj_4cf706310e6f3330,Boston,data+engineer,Product Marketing Engineer,"Sifos Technologies, Inc.",NOT_FOUND,Sifos is the industry leader in the test and qualification of equipment that utilizes the expanding Power-over-Ethernet standard for combining high speed data...,"
                $70,000 - $90,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BH-Ox1QkPFMCkX4MhMorLi97ErmB4kRLTJPdbKUhezxp0F44gdSh8FwCKSUNNtJujXX56ezXPst39saFHqi2Kv8Gx_GShHfzg_NIkYDNJmVuKhGsYhIdJs0OX_rEVXKYi-3y1OcqfwXBfI_oPlJot1BNGzEiIybN3ZQHh-ojVCr7BX7lFWUw5DEhfupOjzyi2yrg8b82XZOQ9rnvbpt3uuZMkYVKkdlqDM-HSZ_kUDTixgpYcdgdlYzDBTm9EdNYo2o-LtsVM9-0u5I_MrX04N19OxQIN-kL-uNcWKATuNFP-BCp1OUumULrKjgd1yheerAhWO6NohJTUd3dBIWXQzVcNGjHGayhFOgZ8ipzcA6II0AzFxggA93AIxUZQwmSJX8H7bEF5qLVnpZKkPHY59iQZuV9ywljXjVDJzDwZOMTJpUbqhTdLcrjdSWnY2Y6w=&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_81480adc04924cf3,Boston,data+engineer,Data Engineer,PNC Financial Services Group,NOT_FOUND,"Data Architecture - Basic Experience. As a Data Engineer (hadoop) within PNC's Technology and Innovation organization, can be based in Pittsburgh, PA;...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMofH_6zXbiqn6xehDj89HQNfpf30LHk40Y3Yl5cZTpi6PEICC7pMg_HwfIsLXdbvkgu7vi_4YTmqFBRjTpfEYZ-C2KaBp9mCh2pde9XmAep9iqyZu4nSjT2rIkPTS-ohinDTocl0qzlYCakHZzeVwIbGDcloSs3BcCRKBRbEU19lLeccJ1DG_ctl93_lQDHutdYxvbNGvpbl9fwCT83u5iVfJnqlp5sMhvr7AXf7WXaCB-qt00S4CrbkkxhSJtcqrwTN-3ddFfxHJoH4V8OnmP8Ybge4AoFXlM02EfOL0OMFauAjolPXa6iENng19iz5jmACxnumKEpvII9NqzN4aX-8tG3jzP8t1AFetAHojbkKeMv8UXeuGxeulJCnCsPjS3uSqiiOPBc04S9cuYEIq5llZqAnlv0w=&p=2&fvj=0&vjs=3,NOT_FOUND
4,pj_ffc8fe95caafe839,Boston,data+engineer,Front End Engineer,EverQuote,NOT_FOUND,You are comfortable using data to support and validate your concepts. EverQuote is seeking a Front End Engineer to join our growing team!...,"

                                    Similar jobs on Indeed pay $94,000 - $138,000 a year
",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACk8hEY2t39QnaKs-6NYU6qSEgFFgG3tR_nw4zcN6o9TPfiurEIyjtHdHmH0KtseoQSK8JZNjCYmXuotzQnngdGPETzDkNKvnGGo08oo_EnuGyIhYD3TcG_Ke1aIaKACSH90tp27sSab-N0dvvqjq54agUxhSDopwTZhCeKvtil5m7bQu_OdKSyEM0jLQUwdkX3hRj5BK_mYjEFWzzpie2FHQle-rTUsQ8ZIdQD4lSzvgrxYnQEcaqr-zjGHwF6WgJxulfeKjwlb6qM-DZym0HB78L-fdw6iYuuefpj_Ylnb2WEhBrhTUEatVoK10Sn333ZkYJFSgi9dX22InlSy6pOYf8rQ7klNknYq26eqgWkDlQVEiHAA_nDlsSxDKLj19ATZUlPKO5lMLJsPargGltgNPJq2jsO8g01AU-RZJtudfQV-mI-uoWKDs_nFRnkYI=&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_9cf9d9f69569c529,Boston,data+engineer,Data Engineer,Putnam Investments,NOT_FOUND,"Work with a team of data scientists and engineers to build scalable, end-to-end data science solutions. Manager, Data Science....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6bAoqlff9KDVZnLkVZDB0_D4Hm8i_v5fzpHa4PFpB4wWzPecOlIUODXuoQeAjlCsNadQbnpf-r-lhW8GagGxt-EH9JCfxz0rXcp0whgd_KtfUSUEKYGSvmRVe-IJDvSBFGUJG5YiyPYD6M-SqsBquqolMylSGCUjYNGMBM7wmvGN7QbrNObrkwzyACE_SeCDEV5ucrlivOLe-truazbDnxAKZtjt1gY2hOUQehMJxjF9Xp4h48ZhELEdLtArISFwPoR4qwHHgKutTUGrVOVmkbLlXMq7vqkC63bOnDPHYLMkUL5Y2XTTucGBJ6mbko-EipHvCFBnfYij-SwPD5dR1LKOY0YeqyCA8C9XMD6HXfbahk-s2NpNDc0gkKg9tQEHz7mDnuBhZUMhQnETRRR3Yg13g3I1mXcSdr8lZ8lW-ASV030iBm48q&p=4&fvj=0&vjs=3,NOT_FOUND
6,pj_ea5ec9d1d614ce25,Boston,data+engineer,Data Engineer,Indeed Prime,NOT_FOUND,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. With one application you can be...,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ-EFN3cXsFacyjbJwnCPXT8pu1IIVxX8oxo22D9qysV3xNhSUUyJGxb3sDBTTEknCJq0NO7UznSi8atfo_NTyozJPmLDRfAqXob6Ieb57IvX0MVWV1txQ-pAfh0UW2opryrq8tjQQvprdBCV6pyhgiT-KTwyZmEF4J3eIRa2xLk4H0w_2PQVx8KgvBeC1ZkJCsTPjN0Xv-DBMbCQwq_y53AATfzIEw_2SMC2XuQex80YZnWFoMJAohY4Pw-QwIZJ4Rw0yNekUVNe4Cc-gb6CgfTNQGC9AUoDo2AK1wSwQvGn6KDD57SEp6Yvie0Z5F7v5glmUoOvlsiwePe--9oPIaCk70YyWjNPQhIjWhji3zgvtrkqZSflh3o_LZk9KBZuUvxr1v-miQvJu-77biecObsE0bHFrzBBd-eXl73Yu5pr40RVaetD1DIwVlRlHc52Llbi5fGRPOEtjV_uZRT41j9pwzOnpwn7FUBXztIKITseNhJQy0UPuvHGFmA-o40AYw==&p=5&fvj=1&vjs=3,NOT_FOUND
7,pj_a378bf784a10b754,Boston,data+engineer,"Life Insurance Agent - work where & when you want, free qualified leads",ASSURANCE Independent Agents,NOT_FOUND,"Our team of engineers, data scientists, marketers, architects, and designers are building systems using advanced science to make humans better....","
                $50,000 - $125,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ay34pLxNpM2b2APydG9FPHc7HhqjeNrk9_gDXaaFM3GhNy0RfeCLVF0PLoZ7AC17CXtGdwlXWYQAW6Zts1QwmYfV68kyev0_cK7LVvCgqt4PSEclYQB5qznSI8JG9hLfppwMcT_xnwmDHnkSG0QEKOQWBFdEzUO9e2o_bv6XJi3Rg00FFlnJ7dGv0GHkPOwPhdqCoXsyxb6p3BTIRAV-K17MAc_3RhjVk7G7J_9myx5peLmvRcgeHoZR5ktHtHM4VgoZuMEoNNOBNyTOkCprav8ArmgDU4nR9dmWlMSAhPINPnWajhRAMs-k-PTAzQABf8GQTHuA5WfDbkX7gSm1CEOg7KuePquFvYKfnYSFLmaheadWRKI0swIz2Xa2eHfN0rBM7ByfspVytdmJ6t28cuwftZAeXBGGte5qcfWQRebrrCYwm76BQPk7MjXeoYcrQnX-fXV-_RItbXfZjq5TpfdUG5SOz7AwqdZ4-yNbad79n4Oa-hLI5_ykTYw6Ih-fYi4xESYbLlLg==&p=6&fvj=1&vjs=3,NOT_FOUND
8,p_beafa6595bb9a69d,Boston,data+engineer,"Full Time opportunities for students & recent graduates: Microsoft AI Development Acceleration Program: Data Scientist, Software Engineer, Program Manager",Microsoft,"Cambridge, MA 02142 (East Cambridge area)","Take responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrity....","

                                    Similar jobs on Indeed pay $104,000 - $149,000 a year
",https://www.indeed.com/rc/clk?jk=beafa6595bb9a69d&fccid=734cb5a01ee60f80&vjs=3,30+ days ago
9,p_86e1f8e2da99c14f,Boston,data+engineer,Data Analyst,Formlabs,"Somerville, MA","Assess and implement new data sources. We want you to join our team as a Data Analyst. Advanced knowledge of SQL, python, and related tools for data analysis...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=86e1f8e2da99c14f&fccid=8e0192a48bd27a99&vjs=3,4 hours ago
10,p_8736f00c1e729d7a,Boston,data+engineer,Data Engineer,Wayfair,"Boston, MA","At their core, Data Engineers at Wayfair are strong technical individuals who enjoy working with large data sets....",NOT_FOUND,https://www.indeed.com/rc/clk?jk=8736f00c1e729d7a&fccid=95485c6456ed2114&vjs=3,14 days ago
