,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_aa2d651916294d68,New+York,data+scientist,Data Scientist/Data Science Instructor,NYC Data Science Academy,NOT_FOUND,We’re on the hunt for instructors who are passionate about what they do and want to make a difference in the education of the world’s up-and-coming data...,"
                $107,000 - $158,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A8aKXix6D0QrOaRp04NE0isoTv0iVbATKVyqNdtbwMjusDSnm_SFjj_4a4eOcEttfz-R5Ukpzm9dF05IKRx1YFXGbP6UQRZegSGiM3IdFDG-0mwLg4VnXXeUUC0POYDDfYF0s70_i5E7p74TCVAj-8SsL7U16WNKIf0rslQVXIlJK2cGdWvYwoAvfUyuuziQNUtXEcIABYULY8ht592h4VDCdWlWW08h8VTGZf7xxH8HeRboD9ttRPxHR9Webm1ef_fqfYyAvHvOsGoyMTF5gcaSsk-GEE7XLjmsULA-47bEmNtXouF9Vwj1E4UQ7TkjPVsSzjoMzm3OxW4vAlfKN_-Wb47EsGzTS1eFjDG1z0RZld-HUud3uM0Fi6TupT3MK_LhvrRWhdQZQVtZY0Nb3sB1r9VlxbL-v7xXqtNKdmT3Y9baYIEG7sG2uUtOKx6qi6TbV5ol2yKN6Hxx6Y1sz_&p=0&fvj=1&vjs=3,NOT_FOUND
2,pj_a1e2ed24f1e07541,New+York,data+scientist,Senior Data Scientist,Aetna,NOT_FOUND,"Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster, generating insights to guide consumers...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_jCSpYQWzVXiNiWazLYeCpyx9-fCnzAZkiltHUDi0XMyOxED92VXzIr_0B7fJaNA5nnE_p70rsrJaXsmUqGigEwYdCi2ZLBcJCdCWfhVbhzhaIx-xzBtswMV1IPTwUyzoQgSYJHxpwY6zE2DttBBVtNhP1SIqNrSJn6nnEIOzIlVezkCpYKDzBSw96k8s5tJS62fZ-jWDU9WaxSbF_V9uP43lXfWVAP4EVWVNDnVkDGOCcyBtOky-Ws_rM3A8YaEpf2jgSToLzq7022oZFIHQ70lzk7vDj4MEiHjT3pZJBjSM70kgFNXrVn4DAmxuLkumLYwjSVxTd4_WrjHQDmK3xAfcv9OqIY6TQTOhbNG4kfYpwbUYJOMi0BM_rJEQC-1t6E1z1wspONVZRxmBRPVCc2ETNtOz5iBtQ2RkLG3s2d6U7UWdt9MyMB9jwCqQr24=&p=1&fvj=0&vjs=3,NOT_FOUND
3,pj_92c5bee232ab896d,New+York,data+scientist,Data Scientist,Verizon,NOT_FOUND,"At Verizon, Finance is leading the formation of an advanced analytics arm that delivers world-class insights in driving business impacts through a data driven...","
                $123,000 - $182,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfBIsGsYRQY8mGkDu8NVbUmhWT4eK7Vsg3lLkWDC3f5LZwXjArEL-wYXdYW-z1YmJN3T4IaTAWNTW3BBELfUb83120QkjG6H09rdOCVvXMAB-ZARRM8kcn87e2D7ri5j6aJtAsd26OA98P2wxtJdE0sUBlhi-C1wPBD3YEsLBevLVEoJnQDCII4oLwbCzM5MOZ5-DGjN8si-vFq1E1rz8dTzNx19EA8pp9Qum6AfzoadQoDeBBsPJbvgCyRkn4z8W2H-YOrzKedEvH5OUJHJb9Fp2hPkKctPeXBjG1_I5wiuWw1br4YfOcJD1ZNMCOa0ss9te87Nt-C3Ve4trCFAZ2WT1BQGDzBizVBHPHGvUau18h2Vxn9rRgxLW1HFen6OK49axa0P7sq86vwYp19IiPLZxaVL8HoIoqLep0QdVxMLl3E22O74T4HE3nv5cphRoL1xY79PRRRIfcK01uLjjtlGykJno9GUgeHz08fMW8i0_X55OjGAP3&p=2&fvj=0&vjs=3,NOT_FOUND
4,pj_a1ed08a0de3309ff,New+York,data+scientist,UX Data Scientist,Bloomberg,NOT_FOUND,"Work with UX designers, UX researchers, data scientists, machine learning experts, technologists, and product managers to understand the problems that need to...","
                $98,000 - $145,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ab67y_gTDH9tSaT0HLOcX4Q3W4UsL2WfVRyJV-qqww-S_SOAUpqHEOp-BmnzQ8WvSltgCrUhgNDSsg7TrrP_PphI4H78Oeo5QwD6jW3U1xxJdvRHtpGDoM03yg7eIgvZT8jy6ROEexRE7rt2_tjHln_o0zwH0-eocIzEMHTFwShEaQikQyPtiwFNG25fzQz1bpqJLPnObuJDfe8MiACec1Gy8Rzi48xiqlGmJ712UAK_CpE3YRNQlyn6xFP5FlNPW-kEJPkkmaiAvqsw5N86wVu8JaTmURgLjYBUrYP1oPMcy7xSI2mVgofjPIqMMhVAN4RsB4e2e837Yyg3AjKZbFuEawZjFAKvpZSjv8if8Lm37LNBq5GW0c4BIZFFRAXN5CMSuNK8BqobZz36TDrutD7h6G3vmHEl-7z553-Mvtgs_RxTZHeWSRQa2GrzkwuxgMXUXiXbaC8Yu53pLIwVtXVtWkKtwmSEfe8g40EyjzQoqV5wNWrzQ5ZDESrsBvz7YSM712VAWS8xXEfHTGVeVr5mhZ2Js85X0TeY0-pq397mSVC7bHjxv_spLcyWey1JI7c4ifk3Rpk5KseXDTFiF-pe0eSsRYtlPjG0RHFCIXjiXEE9ZOCzIPTpJVOgb5thxmuqotq6HU6JHUVXxalytIAR0iNMx5nmIq-e-BI_NOjlwnAuvCB5K2I9AIFx-Z43gpK0qOAW6Q8zRSrhjdafLQ6fQu405_sti8mOeUpwIlXWg3aTuFkXB8&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_ea5f6480d26f4eb5,New+York,data+scientist,Data Scientist,Indeed Prime,NOT_FOUND,"Get matched – Companies apply to you with opportunities that reflect your role, location and salary specifications....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ-EFN3cXsFacyjbJwnCPXT-oLhmY8BsiFB81yZ34tVu9fVfjWHi2luciSBd76CC_cPJEgLpF1MchwjM2GneNQSr470FozB50w7h4HupT_9vpnrhGn63HaCuhnZ7BiPbBERBLAEm4Ed73i2TpRe_XyzmuvlvMmBa32ZxJF9XirRsKiI4mhso8gIu-LDCasSx4AwJHn0xgr9V0iy8xxF0SNwyNmNKNjm-72koCN00llerIy7PCysfj5ilmPJJArwSqpPe0vI51QOQS-mPhwkCVE9JqpIhhfrEFZ8docupKMiyyG4ghXpldblkMat01L-rH3n95l5TMaRLIfBvNREeyfHAS7VWtiD_GfCwm8QK7t6qPnKkFg0LMuJOf2Tecd6GBYwo8YoXZGc3FBq0x_lUh3TakpaMrkPPwFhQ99GveSCmdzaSc8PVISe6zyMeG9Y8754crdGuW4HmaVONA1YKRt4h0dsIltoSSfTRPeXykCe81iKXP8azo9iCtIXbHHAzsBEQEEHwaUFatejWu1LzVGgDRwiRVVtSpoQ==&p=4&fvj=1&vjs=3,NOT_FOUND
6,pj_7314961a8538ca08,New+York,data+scientist,Data Scientist II,Delaware North,NOT_FOUND,"Data processing in SAS, SQL or equivalent. To be a good fit for the Data Scientist II opportunity, you will have:....","
                $93,000 - $137,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQQMNNyqNjCM2Ss8_0wIju34F4ebM12AszmRjXLbmcorpFw7ICmljTQONIfsIOl7Ycm4Qu0VNiO-94q1yeHCQs7yIfF20ngDQeuv2WkFAMoBhw4gUkpwy2pvLZIYUcImJYM0U-OGwh6ncCGpdTWHFG44CLDI66JBesd89UjCiYoFBgT_RVW_9S2sVwCKE7eI8wk0J_o2--2iNFuxcd4SWO6omKoUq3cbh0p9oAQd2SEt9Q-v8Mc7tPr7Ia0H3JFz4ZGH8iMw7XdsvZ0Yb_fPr4YVsyEeRCcYoYL_3SqlLRcGewtIQu1Fv-jL7ixnIz2yngZY1cipQCzu3yssNbPDh29mKvhhOwcMxJv0H-2-Ru6iMKyQngwGycNUkxUNjON7fd9IONclcTyDLciKMOAAmTBAr5ij2uuS_k7iA8680pxQ==&p=5&fvj=0&vjs=3,2 hours ago
7,p_fb5f4c72a859e810,New+York,data+scientist,Data Scientist,Slice,"New York, NY 10017 (Midtown area)",3+ years of specialized experience in Data Science or Advanced Analytics solving complex analytical problems in a technology environment....,"
                $104,000 - $153,000 a year (Indeed est.)",https://www.indeed.com/rc/clk?jk=fb5f4c72a859e810&fccid=cf79f96fb3ec99fe&vjs=3,9 days ago
8,p_37322acb988437d7,New+York,data+scientist,"Junior Data Scientist (Visualization, Metrics, & Automation)",Dow Jones,"New York, NY 10176 (Murray Hill area)","You have worked with visualization and machine learning libraries in either R or Python. Some background in machine learning applications, big data architecture...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=37322acb988437d7&fccid=d2621f51dde471d3&vjs=3,15 days ago
9,p_d00ac85b02cf9b31,New+York,data+scientist,Junior Data Scientist,Viacom,"New York, NY 10036","Support Senior Data Scientists in data cleaning, model development, coding and validation. The Junior Data Scientist will be responsible for supporting our...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=d00ac85b02cf9b31&fccid=ae0c894528aa6eee&vjs=3,16 days ago
10,p_7152f1574b417810,New+York,data+scientist,"Data Scientist,Creator Marketplace – all levels",Spotify,"New York, NY 10011 (Chelsea area)",The Creator Product Insights Team is a thriving insights community of 20+ Data Scientists and User Researchers who blend their skills to help us shape the...,"
                $115,000 - $170,000 a year (Indeed est.)",https://www.indeed.com/rc/clk?jk=7152f1574b417810&fccid=fe404d18bb9eef1e&vjs=3,23 hours ago
